priority,image_filename,title,slug,tier,cluster,primary_keyword,article_written,authored_by_project,image_exists
520,tracking-which-resume-you-sent.png,Tracking Which Resume You Sent Where,tracking-which-resume-you-sent,Tier 2,Resume Tailoring,track resume versions applications,no,no,no
521,internal-vs-external-tailoring.png,Tailoring for an Internal Transfer vs an External Application,internal-vs-external-tailoring,Tier 2,Resume Tailoring,internal transfer resume,no,no,no
522,reapplying-after-rejection.png,Tailoring a Resume for a Role at a Company You Were Rejected From,reapplying-after-rejection,Tier 2,Resume Tailoring,reapply after rejection resume,no,no,no
523,tailoring-for-a-referral.png,Tailoring When You're Applying Through a Referral,tailoring-for-a-referral,Tier 2,Resume Tailoring,referral application resume,no,no,no
524,tailoring-for-agency-submission.png,Tailoring for a Recruiter-Submitted Application,tailoring-for-agency-submission,Tier 2,Resume Tailoring,agency recruiter resume format,no,no,no
525,tailoring-for-unfamiliar-titles.png,Tailoring When the Role Title Is New to You,tailoring-for-unfamiliar-titles,Tier 2,Resume Tailoring,unfamiliar job title how to apply,no,no,no
526,tailoring-for-public-sector.png,Tailoring for a Government or Public-Sector Posting,tailoring-for-public-sector,Tier 2,Resume Tailoring,public sector resume tailoring,no,no,no
527,selection-criteria-responses.png,Writing Selection-Criteria Responses That Mirror the Posting,selection-criteria-responses,Tier 2,Resume Tailoring,selection criteria response,no,no,no
528,corporate-to-nonprofit-tailoring.png,Tailoring for Nonprofits When You Come From Corporate,corporate-to-nonprofit-tailoring,Tier 2,Resume Tailoring,nonprofit resume from corporate,no,no,no
529,agency-vs-in-house-tailoring.jpg,Tailoring for an Agency Role vs an In-House Role,agency-vs-in-house-tailoring,Tier 2,Resume Tailoring,agency vs in house resume,yes,yes,no
530,consulting-vs-industry-tailoring.jpg,Tailoring for a Consulting Firm vs an Industry Role,consulting-vs-industry-tailoring,Tier 2,Resume Tailoring,consulting vs industry resume,yes,yes,no
531,startup-to-enterprise-resume.png,Moving From a Startup to a Large Company: Rewriting Scope and Process,startup-to-enterprise-resume,Tier 2,Resume Tailoring,startup to big company resume,no,no,no
532,in-progress-certifications.png,Certifications the JD Asks For and You're Halfway Through,in-progress-certifications,Tier 2,Resume Tailoring,in progress certification resume,no,no,no
533,confidential-work-on-resume.jpg,Tailoring When Most of Your Work Is Confidential,confidential-work-on-resume,Tier 2,Resume Tailoring,confidential work on resume,yes,yes,no
534,team-vs-individual-credit.jpg,Tailoring When Your Work Was a Team Effort,team-vs-individual-credit,Tier 2,Resume Tailoring,team achievements on resume,yes,yes,no
535,executive-summary-vs-senior.png,Executive Summary vs Senior Summary: A Real Difference,executive-summary-vs-senior,Tier 2,Resume Sections,executive resume summary,no,no,no
536,headline-above-the-summary.png,Should Your Resume Have a Headline Above the Summary?,headline-above-the-summary,Tier 2,Resume Sections,resume headline vs summary,no,no,no
537,how-long-should-a-bullet-be.png,How Long Should a Resume Bullet Be?,how-long-should-a-bullet-be,Tier 2,Resume Bullets & Achievements,resume bullet length,no,no,no
538,how-many-bullets-per-job.png,How Many Bullets Per Job? A Rule That Scales With Recency,how-many-bullets-per-job,Tier 2,Resume Bullets & Achievements,how many bullets per job resume,no,no,no
539,resume-bullet-tense.png,Past or Present Tense in Resume Bullets?,resume-bullet-tense,Tier 2,Resume Bullets & Achievements,resume tense past or present,no,no,no
540,first-person-on-a-resume.png,Should a Resume Ever Say 'I'?,first-person-on-a-resume,Tier 2,Resume Writing,first person on resume,no,no,no
541,percentages-vs-absolute-numbers.png,Percentages or Absolute Numbers: Which Is More Convincing,percentages-vs-absolute-numbers,Tier 2,Resume Bullets & Achievements,resume percentage or number,no,no,no
542,showing-scale-without-numbers.png,Scale Words: Showing Size Without Confidential Numbers,showing-scale-without-numbers,Tier 2,Resume Bullets & Achievements,show scale on resume,no,no,no
543,bullets-for-invisible-work.png,Writing Bullets for Work Nobody Can See,bullets-for-invisible-work,Tier 2,Resume Bullets & Achievements,invisible work on resume,no,no,no
544,bullets-when-you-did-everything.png,Bullets for a Job Where You Did Everything,bullets-when-you-did-everything,Tier 2,Resume Bullets & Achievements,generalist resume bullets,no,no,no
545,bullets-for-short-tenure.png,Writing Bullets for a Job You Held for Three Months,bullets-for-short-tenure,Tier 2,Resume Bullets & Achievements,short tenure resume bullets,no,no,no
546,ic-vs-manager-track-resume.png,IC or Manager Track: Writing the Same History Two Ways,ic-vs-manager-track-resume,Tier 2,Resume Bullets & Achievements,ic vs manager resume,no,no,no
547,skill-levels-on-a-resume.png,Should You Rate Your Skills Out of Five?,skill-levels-on-a-resume,Tier 2,Resume Sections,skill level bars resume,no,no,no
548,grouping-skills-for-scanning.png,Grouping Skills So a Recruiter Can Scan Them in Seconds,grouping-skills-for-scanning,Tier 2,Resume Sections,organize skills section resume,no,no,no
549,languages-on-a-resume.png,"Languages on a Resume: Levels, Proof and Placement",languages-on-a-resume,Tier 2,Resume Sections,languages on resume,no,no,no
550,coursework-and-thesis-placement.png,"Coursework, Thesis and Academic Projects: When They Earn Space",coursework-and-thesis-placement,Tier 2,Resume Sections,relevant coursework resume,no,no,no
551,unrelated-degree-on-resume.png,A Second Degree That Has Nothing to Do With Your Career,unrelated-degree-on-resume,Tier 2,Resume Sections,unrelated degree resume,no,no,no
552,context-for-unknown-employers.png,A Company Nobody Has Heard Of: Adding One Line of Context,context-for-unknown-employers,Tier 2,Resume Sections,unknown company on resume,no,no,no
553,contract-and-agency-structure.png,"Contract, Agency and Client Work on One Resume",contract-and-agency-structure,Tier 2,Resume Sections,contract work resume format,no,no,no
554,failed-startup-on-resume.png,A Failed Startup on Your Resume,failed-startup-on-resume,Tier 2,Resume Sections,failed startup resume,no,no,no
555,volunteer-work-placement.png,"Volunteer Work That Belongs in Experience, Not a Footnote",volunteer-work-placement,Tier 2,Resume Sections,volunteer work on resume,no,no,no
556,when-to-drop-internships.png,Internships on a Resume After Two Years of Real Work,when-to-drop-internships,Tier 2,Resume Sections,when to remove internships,no,no,no
557,part-time-jobs-placement.png,Part-Time and Retail Jobs on a Professional Resume,part-time-jobs-placement,Tier 2,Resume Sections,part time job on resume,no,no,no
558,hobbies-and-interests.png,Hobbies and Interests: The Rare Case They Help,hobbies-and-interests,Tier 2,Resume Sections,hobbies on resume,no,no,no
559,references-available-on-request.png,'References Available on Request' and Other Dead Lines,references-available-on-request,Tier 2,Resume Writing,references available on request,no,no,no
560,address-on-resume-2026.png,"Address on a Resume in 2026: City, Country or Nothing",address-on-resume-2026,Tier 2,Resume Sections,address on resume,no,no,no
561,proofreading-your-own-resume.png,Proofreading a Resume When You've Read It Fifty Times,proofreading-your-own-resume,Tier 2,Resume Writing,proofread resume tips,no,no,no
562,resume-consistency-checklist.png,"A Consistency Checklist: Dates, Tense, Punctuation, Capitals",resume-consistency-checklist,Tier 2,Resume Writing,resume consistency check,no,no,no
563,plain-english-technical-resume.png,Writing a Resume in Plain English When the Job Is Technical,plain-english-technical-resume,Tier 2,Resume Writing,technical resume plain language,no,no,no
564,jargon-that-hurts-you.png,Jargon That Helps You and Jargon That Hurts You,jargon-that-hurts-you,Tier 2,Resume Writing,resume jargon,no,no,no
565,updating-while-still-employed.png,Updating a Resume While You Still Have the Job,updating-while-still-employed,Tier 2,Resume Writing,update resume while employed,no,no,no
566,keeping-a-running-brag-file.png,Keeping a Running Record So You Never Rebuild Again,keeping-a-running-brag-file,Tier 2,Resume Writing,track achievements ongoing,no,no,no
567,brand-manager-resume-guide.png,A Brand Manager Resume That Earns the Portfolio Click,brand-manager-resume-guide,Tier 2,Resume Examples,brand manager resume,no,no,no
568,performance-marketing-resume-guide.png,A Performance Marketing Manager Resume That Earns the Portfolio Click,performance-marketing-resume-guide,Tier 2,Resume Examples,performance marketing resume,no,no,no
569,growth-marketer-resume-guide.png,Growth Marketer Resume: Linking a Portfolio That Gets Opened,growth-marketer-resume-guide,Tier 2,Resume Examples,growth marketing resume,no,no,no
570,email-marketing-specialist-resume-guide.png,Email Marketing Specialist Resume: Showing Range Without Looking Unfocused,email-marketing-specialist-resume-guide,Tier 2,Resume Examples,email marketing resume,no,no,no
571,marketing-analyst-resume-guide.png,A Marketing Analyst Resume That Earns the Portfolio Click,marketing-analyst-resume-guide,Tier 2,Resume Examples,marketing analyst resume,no,no,no
572,public-relations-specialist-resume-guide.png,A Public Relations Specialist Resume That Earns the Portfolio Click,public-relations-specialist-resume-guide,Tier 2,Resume Examples,pr specialist resume,no,no,no
573,communications-manager-resume-guide.png,A Communications Manager Resume That Earns the Portfolio Click,communications-manager-resume-guide,Tier 2,Resume Examples,communications manager resume,no,no,no
574,copywriter-resume-guide.png,Copywriter Resume: Showing Range Without Looking Unfocused,copywriter-resume-guide,Tier 2,Resume Examples,copywriter resume,no,no,no
575,video-editor-resume-guide.png,Video Editor Resume: When the Work Speaks and When Words Must,video-editor-resume-guide,Tier 2,Resume Examples,video editor resume,no,no,no
576,motion-designer-resume-guide.png,Motion Designer Resume: When the Work Speaks and When Words Must,motion-designer-resume-guide,Tier 2,Resume Examples,motion designer resume,no,no,no
577,three-d-artist-resume-guide.png,3D Artist Resume: Linking a Portfolio That Gets Opened,three-d-artist-resume-guide,Tier 2,Resume Examples,3d artist resume,no,no,no
578,illustrator-resume-guide.png,Illustrator Resume: Linking a Portfolio That Gets Opened,illustrator-resume-guide,Tier 2,Resume Examples,illustrator resume,no,no,no
579,photographer-resume-guide.png,What Goes on a Photographer Resume When You Have a Portfolio,photographer-resume-guide,Tier 2,Resume Examples,photographer resume,no,no,no
580,art-director-resume-guide.png,A Art Director Resume That Earns the Portfolio Click,art-director-resume-guide,Tier 2,Resume Examples,art director resume,no,no,no
581,ux-researcher-resume-guide.png,UX Researcher Resume: Describing Craft Without the Clichés,ux-researcher-resume-guide,Tier 2,Resume Examples,ux researcher resume,no,no,no
582,ux-writer-resume-guide.png,UX Writer / Content Designer Resume: Showing Range Without Looking Unfocused,ux-writer-resume-guide,Tier 2,Resume Examples,ux writer resume,no,no,no
583,service-designer-resume-guide.png,Service Designer Resume: When the Work Speaks and When Words Must,service-designer-resume-guide,Tier 2,Resume Examples,service designer resume,no,no,no
584,design-systems-designer-resume-guide.png,Design Systems Designer Resume: Showing Range Without Looking Unfocused,design-systems-designer-resume-guide,Tier 2,Resume Examples,design systems resume,no,no,no
585,instructional-designer-resume-guide.png,A Instructional Designer Resume That Earns the Portfolio Click,instructional-designer-resume-guide,Tier 2,Resume Examples,instructional designer resume,no,no,no
586,curriculum-developer-resume-guide.png,Curriculum Developer Resume: Linking a Portfolio That Gets Opened,curriculum-developer-resume-guide,Tier 2,Resume Examples,curriculum developer resume,no,no,no
587,university-lecturer-resume-guide.png,A University Lecturer Resume That Earns the Portfolio Click,university-lecturer-resume-guide,Tier 2,Resume Examples,lecturer resume,no,no,no
588,academic-researcher-resume-guide.png,"Academic Researcher (Non-Tenure) Resume: Portfolio, Proof and the Bullets That Matter",academic-researcher-resume-guide,Tier 2,Resume Examples,academic researcher resume,no,no,no
589,school-principal-resume-guide.png,School Principal Resume: Linking a Portfolio That Gets Opened,school-principal-resume-guide,Tier 2,Resume Examples,principal resume,no,no,no
590,special-education-teacher-resume-guide.png,Special Education Teacher Resume: When the Work Speaks and When Words Must,special-education-teacher-resume-guide,Tier 2,Resume Examples,special education teacher resume,no,no,no
591,teaching-assistant-resume-guide.png,What Goes on a Teaching Assistant Resume When You Have a Portfolio,teaching-assistant-resume-guide,Tier 2,Resume Examples,teaching assistant resume,no,no,no
592,librarian-resume-guide.png,Librarian Resume: Linking a Portfolio That Gets Opened,librarian-resume-guide,Tier 2,Resume Examples,librarian resume,no,no,no
593,policy-analyst-resume-guide.png,Policy Analyst Resume: When the Work Speaks and When Words Must,policy-analyst-resume-guide,Tier 2,Resume Examples,policy analyst resume,no,no,no
594,urban-planner-resume-guide.png,Urban Planner Resume: Linking a Portfolio That Gets Opened,urban-planner-resume-guide,Tier 2,Resume Examples,urban planner resume,no,no,no
595,environmental-scientist-resume-guide.png,"Environmental Scientist Resume: Portfolio, Proof and the Bullets That Matter",environmental-scientist-resume-guide,Tier 2,Resume Examples,environmental scientist resume,no,no,no
596,sustainability-manager-resume-guide.png,Sustainability Manager Resume: Describing Craft Without the Clichés,sustainability-manager-resume-guide,Tier 2,Resume Examples,sustainability manager resume,no,no,no
597,nonprofit-program-manager-resume-guide.png,Nonprofit Program Manager Resume: Linking a Portfolio That Gets Opened,nonprofit-program-manager-resume-guide,Tier 2,Resume Examples,nonprofit program manager resume,no,no,no
598,grant-writer-resume-guide.png,"Grant Writer Resume: Portfolio, Proof and the Bullets That Matter",grant-writer-resume-guide,Tier 2,Resume Examples,grant writer resume,no,no,no
599,event-manager-resume-guide.png,Event Manager Resume: Showing Range Without Looking Unfocused,event-manager-resume-guide,Tier 2,Resume Examples,event manager resume,no,no,no
600,hotel-manager-resume-guide.png,A Hotel Manager Resume That Earns the Portfolio Click,hotel-manager-resume-guide,Tier 2,Resume Examples,hotel manager resume,no,no,no
601,restaurant-manager-resume-guide.png,What Goes on a Restaurant Manager Resume When You Have a Portfolio,restaurant-manager-resume-guide,Tier 2,Resume Examples,restaurant manager resume,no,no,no
602,real-estate-agent-resume-guide.png,Real Estate Agent Resume: Linking a Portfolio That Gets Opened,real-estate-agent-resume-guide,Tier 2,Resume Examples,real estate agent resume,no,no,no
603,construction-project-manager-resume-guide.png,Construction Project Manager Resume: Describing Craft Without the Clichés,construction-project-manager-resume-guide,Tier 2,Resume Examples,construction project manager resume,no,no,no
604,site-supervisor-resume-guide.png,"Site Supervisor Resume: Portfolio, Proof and the Bullets That Matter",site-supervisor-resume-guide,Tier 2,Resume Examples,site supervisor resume,no,no,no
605,electrician-resume-guide.png,A Electrician Resume That Earns the Portfolio Click,electrician-resume-guide,Tier 2,Resume Examples,electrician resume,no,no,no
606,plumber-resume-guide.png,Plumber Resume: Linking a Portfolio That Gets Opened,plumber-resume-guide,Tier 2,Resume Examples,plumber resume,no,no,no
607,hvac-technician-resume-guide.png,What Goes on a HVAC Technician Resume When You Have a Portfolio,hvac-technician-resume-guide,Tier 2,Resume Examples,hvac technician resume,no,no,no
608,cnc-machinist-resume-guide.png,What Goes on a CNC Machinist Resume When You Have a Portfolio,cnc-machinist-resume-guide,Tier 2,Resume Examples,cnc machinist resume,no,no,no
609,welder-resume-guide.png,Welder Resume: Showing Range Without Looking Unfocused,welder-resume-guide,Tier 2,Resume Examples,welder resume,no,no,no
610,truck-driver-resume-guide.png,What Goes on a Truck Driver Resume When You Have a Portfolio,truck-driver-resume-guide,Tier 2,Resume Examples,truck driver resume,no,no,no
611,security-guard-resume-guide.png,"Security Guard Resume: Portfolio, Proof and the Bullets That Matter",security-guard-resume-guide,Tier 2,Resume Examples,security guard resume,no,no,no
612,police-officer-resume-guide.png,"Police Officer Resume: Portfolio, Proof and the Bullets That Matter",police-officer-resume-guide,Tier 2,Resume Examples,police officer resume,no,no,no
613,firefighter-resume-guide.png,Firefighter Resume: Describing Craft Without the Clichés,firefighter-resume-guide,Tier 2,Resume Examples,firefighter resume,no,no,no
614,air-traffic-controller-resume-guide.png,A Air Traffic Controller Resume That Earns the Portfolio Click,air-traffic-controller-resume-guide,Tier 2,Resume Examples,air traffic controller resume,no,no,no
615,pilot-resume-guide.png,Pilot Resume: Showing Range Without Looking Unfocused,pilot-resume-guide,Tier 2,Resume Examples,pilot resume,no,no,no
616,aircraft-maintenance-engineer-resume-guide.png,"Aircraft Maintenance Engineer Resume: Portfolio, Proof and the Bullets That Matter",aircraft-maintenance-engineer-resume-guide,Tier 2,Resume Examples,aircraft maintenance resume,no,no,no
617,supply-chain-analyst-resume-guide.png,Supply Chain Analyst Resume: Linking a Portfolio That Gets Opened,supply-chain-analyst-resume-guide,Tier 2,Resume Examples,supply chain analyst resume,no,no,no
618,hr-business-partner-resume-guide.png,HR Business Partner Resume: When the Work Speaks and When Words Must,hr-business-partner-resume-guide,Tier 2,Resume Examples,hr business partner resume,no,no,no
619,talent-acquisition-specialist-resume-guide.png,"Talent Acquisition Specialist Resume: Portfolio, Proof and the Bullets That Matter",talent-acquisition-specialist-resume-guide,Tier 2,Resume Examples,talent acquisition resume,no,no,no
620,learning-development-manager-resume-guide.png,A Learning and Development Manager Resume That Earns the Portfolio Click,learning-development-manager-resume-guide,Tier 2,Resume Examples,l and d manager resume,no,no,no
621,compensation-benefits-analyst-resume-guide.png,Compensation and Benefits Analyst Resume: When the Work Speaks and When Words Must,compensation-benefits-analyst-resume-guide,Tier 2,Resume Examples,compensation analyst resume,no,no,no
622,executive-assistant-resume-guide.png,A Executive Assistant Resume That Earns the Portfolio Click,executive-assistant-resume-guide,Tier 2,Resume Examples,executive assistant resume,no,no,no
623,office-manager-resume-guide.png,Office Manager Resume: Linking a Portfolio That Gets Opened,office-manager-resume-guide,Tier 2,Resume Examples,office manager resume,no,no,no
624,virtual-assistant-resume-guide.png,A Virtual Assistant Resume That Earns the Portfolio Click,virtual-assistant-resume-guide,Tier 2,Resume Examples,virtual assistant resume,no,no,no
625,data-entry-specialist-resume-guide.png,A Data Entry Specialist Resume That Earns the Portfolio Click,data-entry-specialist-resume-guide,Tier 2,Resume Examples,data entry resume,no,no,no
626,call-center-agent-resume-guide.png,What Goes on a Call Center Agent Resume When You Have a Portfolio,call-center-agent-resume-guide,Tier 2,Resume Examples,call center resume,no,no,no
627,hospitality-to-corporate-resume.png,Hospitality to Corporate: Skills That Transfer Better Than You Think,hospitality-to-corporate-resume,Tier 2,Career Change,hospitality to corporate resume,no,no,no
628,retail-to-operations-resume.png,Retail Management to Operations: A Direct Route,retail-to-operations-resume,Tier 2,Career Change,retail to operations resume,no,no,no
629,support-to-engineering-resume.png,Support to Engineering: Making the Internal Case on Paper,support-to-engineering-resume,Tier 2,Career Change,support to engineer resume,no,no,no
630,qa-to-developer-resume.png,QA to Development: A Resume That Shows the Shift,qa-to-developer-resume,Tier 2,Career Change,qa to developer resume,no,no,no
631,agency-to-client-side-resume.png,Agency to Client Side: Reframing Account Work,agency-to-client-side-resume,Tier 2,Career Change,agency to client side resume,no,no,no
632,public-to-private-sector-resume.png,Public Sector to Private: Translating Process Into Impact,public-to-private-sector-resume,Tier 2,Career Change,government to private sector resume,no,no,no
633,private-to-public-sector-resume.png,Private to Public Sector: Meeting Selection Criteria,private-to-public-sector-resume,Tier 2,Career Change,private to government resume,no,no,no
634,nonprofit-to-corporate-resume.png,Nonprofit to Corporate Without Losing the Mission Story,nonprofit-to-corporate-resume,Tier 2,Career Change,nonprofit to corporate resume,no,no,no
635,new-role-same-industry.png,Changing Career Without Changing Industry,new-role-same-industry,Tier 2,Career Change,change role same industry,no,no,no
636,same-role-new-industry.png,Changing Industry Without Changing Role,same-role-new-industry,Tier 2,Career Change,same role new industry,no,no,no
637,returning-to-a-former-field.png,Going Back to a Field You Left Years Ago,returning-to-a-former-field,Tier 2,Career Change,returning to old career resume,no,no,no
638,deliberately-stepping-down.png,Stepping Down a Level Deliberately,deliberately-stepping-down,Tier 2,Career Change,step down career resume,no,no,no
639,study-gap-on-resume.png,A Gap You Spent Studying,study-gap-on-resume,Tier 2,Career Gaps & Setbacks,gap year study resume,no,no,no
640,travel-gap-on-resume.png,A Gap You Spent Travelling,travel-gap-on-resume,Tier 2,Career Gaps & Setbacks,travel gap resume,no,no,no
641,open-to-work-on-resume.png,Should You Say You're 'Open to Work' on the Resume?,open-to-work-on-resume,Tier 2,Career Gaps & Setbacks,open to work on resume,no,no,no
642,demotion-on-a-resume.png,Demotion or Sideways Move on a Resume,demotion-on-a-resume,Tier 2,Career Gaps & Setbacks,demotion on resume,no,no,no
643,returning-after-burnout.png,Rebuilding After a Long Illness or Burnout,returning-after-burnout,Tier 2,Career Gaps & Setbacks,return to work after burnout,no,no,no
644,getting-a-useful-resume-review.png,Asking Someone to Review Your Resume (and What to Ask),getting-a-useful-resume-review,Tier 2,Career Gaps & Setbacks,get resume reviewed,no,no,no
645,rusty-skill-on-your-resume.png,A Skill on Your Resume You Haven't Used in Two Years,rusty-skill-on-your-resume,Tier 2,Interview Preparation,rusty skill interview,no,no,no
646,project-you-barely-touched.png,Being Asked About a Project You Barely Touched,project-you-barely-touched,Tier 2,Interview Preparation,interview project you didnt lead,no,no,no
647,first-call-preparation.png,Preparing for a Fifteen-Minute First Call,first-call-preparation,Tier 2,Interview Preparation,15 minute screening call prep,no,no,no
648,deflecting-salary-early.png,Deflecting the Salary Question Without Being Evasive,deflecting-salary-early,Tier 2,Interview Preparation,avoid salary question interview,no,no,no
649,video-interview-setup.png,"Your Camera, Light and Background Are Part of the Answer",video-interview-setup,Tier 2,Interview Preparation,video interview setup,no,no,no
650,star-for-vague-questions.png,Using STAR When the Question Is Vague,star-for-vague-questions,Tier 2,Interview Preparation,star method vague question,no,no,no
651,influence-without-authority.png,Describing a Time You Influenced Without Authority,influence-without-authority,Tier 2,Interview Preparation,influence without authority interview,no,no,no
652,pressure-and-deadline-questions.png,Questions About Handling Pressure and Deadlines,pressure-and-deadline-questions,Tier 2,Interview Preparation,pressure interview question,no,no,no
653,thinking-aloud-technical.png,Thinking Aloud in a Technical Interview,thinking-aloud-technical,Tier 2,Interview Preparation,think aloud technical interview,no,no,no
654,data-case-interview.png,Data Case Interviews: Structuring an Answer,data-case-interview,Tier 2,Interview Preparation,data case interview,no,no,no
655,product-metrics-interview.png,Product Metrics Interviews: Choosing the Right Number,product-metrics-interview,Tier 2,Interview Preparation,product metrics interview,no,no,no
656,sales-mock-pitch-round.png,Sales Interviews: The Mock Pitch Round,sales-mock-pitch-round,Tier 2,Interview Preparation,sales interview role play,no,no,no
657,sales-metrics-interview.png,Talking Numbers in a Sales Interview,sales-metrics-interview,Tier 2,Interview Preparation,sales interview quota questions,no,no,no
658,finance-technical-questions.png,Finance Interviews: Technical Questions You Must Not Miss,finance-technical-questions,Tier 2,Interview Preparation,finance interview technical questions,no,no,no
659,clinical-scenario-questions.png,Clinical Interviews: Scenario and Ethics Questions,clinical-scenario-questions,Tier 2,Interview Preparation,nursing interview scenario questions,no,no,no
660,healthcare-values-interview.png,Values-Based Interviews in Healthcare,healthcare-values-interview,Tier 2,Interview Preparation,values based interview nhs,no,no,no
661,teaching-demo-lesson.png,Teaching Interviews and the Demo Lesson,teaching-demo-lesson,Tier 2,Interview Preparation,teaching interview demo lesson,no,no,no
662,assessment-centre-exercises.png,Assessment Centres: Group Exercises and What's Scored,assessment-centre-exercises,Tier 2,Interview Preparation,assessment centre tips,no,no,no
663,group-exercise-tactics.png,Group Exercises Without Dominating or Disappearing,group-exercise-tactics,Tier 2,Interview Preparation,group exercise interview,no,no,no
664,unpaid-take-home-limits.png,When a Take-Home Is Really Unpaid Work,unpaid-take-home-limits,Tier 2,Interview Preparation,unpaid take home assignment,no,no,no
665,peer-interview-round.png,Meeting the Team: What Peers Are Assessing,peer-interview-round,Tier 2,Interview Preparation,peer interview round,no,no,no
666,skip-level-interview.png,The Skip-Level or Founder Round,skip-level-interview,Tier 2,Interview Preparation,founder interview round,no,no,no
667,reading-the-room-in-interview.png,Reading the Room: Signals the Interview Is Going Badly,reading-the-room-in-interview,Tier 2,Interview Preparation,interview going badly signs,no,no,no
668,recovering-a-bad-interview.png,Recovering an Interview That Started Badly,recovering-a-bad-interview,Tier 2,Interview Preparation,recover bad interview,no,no,no
669,asking-for-feedback-after-no.png,Asking for Feedback After a Rejection,asking-for-feedback-after-no,Tier 2,Interview Preparation,ask for interview feedback,no,no,no
670,researching-before-interview.png,Researching a Company Beyond the Careers Page,researching-before-interview,Tier 2,Interview Preparation,research company before interview,no,no,no
671,interviewing-while-employed.png,Interviewing While Employed: Logistics and Discretion,interviewing-while-employed,Tier 2,Interview Preparation,interview while employed,no,no,no
672,the-ten-minutes-before.png,Nerves: What Actually Helps in the Ten Minutes Before,the-ten-minutes-before,Tier 2,Interview Preparation,interview nerves before,no,no,no
673,cover-letter-length-2026.png,How Long a Cover Letter Should Be,cover-letter-length-2026,Tier 2,Cover Letters,cover letter length,no,no,no
674,addressing-without-a-name.png,Addressing a Letter When You Don't Know the Name,addressing-without-a-name,Tier 2,Cover Letters,cover letter no name,no,no,no
675,speculative-application-letter.png,Writing a Letter for a Speculative Application,speculative-application-letter,Tier 2,Cover Letters,speculative cover letter,no,no,no
676,internal-role-letter.png,A Letter for an Internal Role,internal-role-letter,Tier 2,Cover Letters,internal application letter,no,no,no
677,cover-letter-as-email-body.png,The Email Version: When the Letter Is the Message Body,cover-letter-as-email-body,Tier 2,Cover Letters,cover letter email body,no,no,no
678,cover-letter-cliches.png,Cover Letter Clichés Recruiters Skim Past,cover-letter-cliches,Tier 2,Cover Letters,cover letter cliches,no,no,no
679,linkedin-for-career-changers.png,A LinkedIn Profile for a Career Changer,linkedin-for-career-changers,Tier 2,LinkedIn & Personal Branding,linkedin career change profile,no,no,no
680,linkedin-featured-and-projects.png,"Featured, Projects and Portfolio Links on LinkedIn",linkedin-featured-and-projects,Tier 2,LinkedIn & Personal Branding,linkedin featured section,no,no,no
681,asking-for-recommendations.png,Recommendations: Who to Ask and What to Ask For,asking-for-recommendations,Tier 2,LinkedIn & Personal Branding,linkedin recommendations,no,no,no
682,portfolio-when-work-is-nda.png,A Portfolio When Your Work Is Confidential,portfolio-when-work-is-nda,Tier 2,Portfolio,portfolio confidential work,no,no,no
683,portfolio-for-non-creative-roles.png,Portfolios for Non-Creative Roles,portfolio-for-non-creative-roles,Tier 2,Portfolio,portfolio for analyst,no,no,no
684,writing-portfolio-no-clips.png,A Writing Portfolio Without Published Clips,writing-portfolio-no-clips,Tier 2,Portfolio,writing portfolio no clips,no,no,no
685,site-or-pdf-portfolio.png,Personal Site vs PDF Portfolio,site-or-pdf-portfolio,Tier 2,Portfolio,portfolio website or pdf,no,no,no
686,portfolio-home-page-contents.png,What to Put on the Portfolio Home Page,portfolio-home-page-contents,Tier 2,Portfolio,portfolio homepage,no,no,no
687,employers-ai-policies.png,Employers Who Ask Whether You Used AI,employers-ai-policies,Tier 2,AI & Careers,employer ai disclosure policy,no,no,no
688,ai-changing-your-field.png,Which Jobs AI Is Actually Changing in Your Field,ai-changing-your-field,Tier 2,AI & Careers,ai changing my job,no,no,no
689,prompt-engineering-on-resume.png,Prompt Engineering on a Resume: Real Signal or Noise,prompt-engineering-on-resume,Tier 2,AI & Careers,prompt engineering resume,no,no,no
690,tracking-applications-simply.png,Tracking Applications Without a Spreadsheet Mess,tracking-applications-simply,Tier 2,Job Search Strategy,track job applications,no,no,no
691,weekly-job-search-routine.png,A Weekly Job-Search Routine That Survives a Full-Time Job,weekly-job-search-routine,Tier 2,Job Search Strategy,job search routine while working,no,no,no
692,reading-a-posted-salary-range.png,Reading a Salary Range Before You Apply,reading-a-posted-salary-range,Tier 2,Job Search Strategy,job posting salary range,no,no,no
693,sorting-recruiter-messages.png,Recruiters Who Contact You: Sorting Real From Noise,sorting-recruiter-messages,Tier 2,Job Search Strategy,recruiter message real or spam,no,no,no
694,staying-application-ready.png,Keeping a Resume Ready for Opportunities You Didn't Plan,staying-application-ready,Tier 2,Job Search Strategy,resume ready passive candidate,no,no,no
695,the-application-not-to-send.png,The Application You Should Not Send,the-application-not-to-send,Tier 2,Job Search Strategy,when not to apply,no,no,no
696,final-year-project-depth.png,A Final-Year Project on One Line and on Five,final-year-project-depth,Tier 2,Resume Sections,final year project resume,no,no,no
697,group-coursework-your-part.png,Group Coursework: Claiming Your Part Honestly,group-coursework-your-part,Tier 2,Resume Sections,group project resume,no,no,no
698,extracurriculars-that-count.png,"Society, Club and Sports Roles That Count",extracurriculars-that-count,Tier 2,Resume Sections,extracurricular on resume,no,no,no
699,unrelated-summer-job.png,A Summer Job That Has Nothing to Do With Your Degree,unrelated-summer-job,Tier 2,Resume Sections,unrelated job on student resume,no,no,no
